Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
665,PaymentPageUI1,x,Linux,Php,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
666,ProductCategory,Ecommerce,Linux,Php,product category dropdown,loggedIn,productCategorySelected
667,ProductFareCalculator,Ecommerce,Linux,Php,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
668,ProductList,Ecommerce,Linux,Php,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
669,ProfilePage,Ecommerce,Linux,Php,"profile page with details like name,username,email,address and phone number",x,x
670,Register,x,Linux,Php,"registration page with details like email , password and confirm password",x,userRegistered
671,Register1,x,Linux,Php,"registration page with details like name,email,username,password and confirm password",x,userRegistered
672,Register2,x,Linux,Php,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
673,RoomSelector,Hotel Booking,Linux,Php,room type and number of guests dropdown ,x,x
674,SearchBook,Library Management,Linux,Php,search box for entering book name,x,x
675,SearchProduct,Ecommerce,Linux,Php,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
676,SearchProductUI,Ecommerce,Linux,Php,search box for entering product name to search,loggedIn,productSearchTerm
677,ThankYouPage,Ecommerce,Linux,Php,thank you page for the username,x,x
678,TrainBookingConfirmed,Railway Booking,Linux,Php,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
679,TrainDisplayUI,Railway Booking,Linux,Php,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
680,BusBookingConfirmed,Bus Booking,Linux,Php,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
681,BusDisplayUI,Bus Booking,Linux,Php,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
682,VerificationEmailPage,Ecommerce,Linux,Php,verification email sent page,x,x
683,VideoList,Online Video,Linux,Php,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
684,YoutubeVideoPlay,Online Video,Linux,Php,youtube video player with video id ,videoId,x
685,AddBookUI,Library Management,MacOS,Php,"add book ui using author name, book name and year",x,x
686,AddBookUI,Supply Chain,MacOS,Php,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
687,AuthorAndGenre,Library Management,MacOS,Php,author name dropdown and genre dropdown,x,x
688,AuthorAndGenre,Supply Chain,MacOS,Php,author name dropdown and genre dropdown,x,x
689,BerthAvailabilty,Railway Booking,MacOS,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
690,BookAddedSuccessfullyDialog,Library Management,MacOS,Php,book added sucessfully dialog,bookAddedSuccessful,x
691,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Php,book added sucessfully dialog,bookAddedSuccessful,x
692,BookingConfirmation,Hotel Booking,MacOS,Php,confirmation page display,x,x
693,BookList,Library Management,MacOS,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
694,BookList,Supply Chain,MacOS,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
695,CalculateAgeScreen,Educational,MacOS,Php,Calculate age using date picker and date of birth,loggedIn,age
696,CityNameDropdown,Hotel Booking,MacOS,Php,city name dropdown,isLoggedIn,cityName:String
697,CityNameWithState,Hotel Booking,MacOS,Php,city name dropdown with state,x,x
698,ClassTypeAndQuota,Railway Booking,MacOS,Php,class type dropdown and quota type dropdown,x,x
699,ClassTypeAndQuota,Bus Booking,MacOS,Php,class type dropdown and quota type dropdown,x,x
700,DateOfJourney,Bus Booking,MacOS,Php,date of journey input,x,x
701,DateOfJourney,Railway Booking,MacOS,Php,date of journey input,x,x
702,DisplayAgeOutput,Educational,MacOS,Php,Display the age ,age,x
703,FlightBookingConfirmed,Flight Booking,MacOS,Php,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
704,FlightClassType,Flight Booking,MacOS,Php,select flight class type from dropdown,x,x
705,FlightDisplayUI,Flight Booking,MacOS,Php,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
706,FromCityToCity,Bus Booking,MacOS,Php,From city dropdown and to city dropdown select,x,x
707,FromCityToCity,Railway Booking,MacOS,Php,From city dropdown and to city dropdown select,x,x
708,FromCityToCityDOJ,Flight Booking,MacOS,Php,From city dropdown and to city dropdown and date of journey select,x,x
709,FromDateToDate,Hotel Booking,MacOS,Php,from date and to date input,x,x
710,GetFlights,Flight Booking,MacOS,Php,"get flights button to search for flights using from city name , to city name and date of journey",x,x
711,GetTrains,Railway Booking,MacOS,Php,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
712,GSTCalculator,x,MacOS,Php,gst calculate on amount or fare,amount,amount
713,HotelListUI,Hotel Booking,MacOS,Php,list of hotels with hotel select from list,x,x
714,HotelRentCalculator,Hotel Booking,MacOS,Php,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
715,HotelSearch,Hotel Booking,MacOS,Php,search for hotels using city and state name,x,x
716,LoginCaptchaScreen,x,MacOS,Php,"Login using username, password and captcha",x,loggedIn
717,LoginCheck,x,MacOS,Php,check username and password validity,"username,password",isLoggedIn
718,LoginErrorPage,x,MacOS,Php,login failed error page,x,x
719,LoginScreen,x,MacOS,Php,Login using username and password,x,loggedIn
720,LoginScreen1,x,MacOS,Php,"login using username ,password and register option",x,"userRegistered,loggedIn"
721,Logout,x,MacOS,Php,logout button,paymentStatus,loggedIn
722,NumberOfItems,Ecommerce,MacOS,Php,number of items dropdown,selectedProduct,numberOfItems
723,PassengerDetails,Railway Booking,MacOS,Php,"add details of passenger with input of name , age , gender  , phone number ",x,x
724,PassengerDetails,Bus Booking,MacOS,Php,"add details of passenger with input of name , age , gender  , phone number ",x,x
725,PaymentFailed,x,MacOS,Php,payment failed page for the given amount,x,x
726,PaymentPageUI,x,MacOS,Php,"payment page with options like credit card, debit card and cash",x,x
727,PaymentPageUI1,x,MacOS,Php,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
728,ProductCategory,Ecommerce,MacOS,Php,product category dropdown,loggedIn,productCategorySelected
729,ProductFareCalculator,Ecommerce,MacOS,Php,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
730,ProductList,Ecommerce,MacOS,Php,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
731,ProfilePage,Ecommerce,MacOS,Php,"profile page with details like name,username,email,address and phone number",x,x
732,Register,x,MacOS,Php,"registration page with details like email , password and confirm password",x,userRegistered
733,Register1,x,MacOS,Php,"registration page with details like name,email,username,password and confirm password",x,userRegistered
734,Register2,x,MacOS,Php,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
735,RoomSelector,Hotel Booking,MacOS,Php,room type and number of guests dropdown ,x,x
736,SearchBook,Library Management,MacOS,Php,search box for entering book name,x,x
737,SearchProduct,Ecommerce,MacOS,Php,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
738,SearchProductUI,Ecommerce,MacOS,Php,search box for entering product name to search,loggedIn,productSearchTerm
739,ThankYouPage,Ecommerce,MacOS,Php,thank you page for the username,x,x
740,TrainBookingConfirmed,Railway Booking,MacOS,Php,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
741,TrainDisplayUI,Railway Booking,MacOS,Php,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
742,BusBookingConfirmed,Bus Booking,MacOS,Php,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
743,BusDisplayUI,Bus Booking,MacOS,Php,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
744,VerificationEmailPage,Ecommerce,MacOS,Php,verification email sent page,x,x
745,VideoList,Online Video,MacOS,Php,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
746,YoutubeVideoPlay,Online Video,MacOS,Php,youtube video player with video id ,videoId,x
747,AddBookUI,Library Management,Windows,Php,"add book ui using author name, book name and year",x,x
748,AddBookUI,Supply Chain,Windows,Php,"add book ui using author name, book name and year",x,x
749,AuthorAndGenre,Library Management,Windows,Php,author name dropdown and genre dropdown,x,x
750,AuthorAndGenre,Supply Chain,Windows,Php,author name dropdown and genre dropdown,x,x
751,BerthAvailabilty,Railway Booking,Windows,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
752,BookAddedSuccessfullyDialog,Library Management,Windows,Php,book added sucessfully dialog,bookAddedSuccessful,x
753,BookAddedSuccessfullyDialog,Supply Chain,Windows,Php,book added sucessfully dialog,bookAddedSuccessful,x
754,BookingConfirmation,Hotel Booking,Windows,Php,confirmation page display,x,x
755,BookList,Library Management,Windows,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
756,BookList,Supply Chain,Windows,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
757,CalculateAgeScreen,Educational,Windows,Php,Calculate age using date picker and date of birth,loggedIn,age
758,CityNameDropdown,Hotel Booking,Windows,Php,city name dropdown,isLoggedIn,cityName:String
759,CityNameWithState,Hotel Booking,Windows,Php,city name dropdown with state,x,x
760,ClassTypeAndQuota,Railway Booking,Windows,Php,class type dropdown and quota type dropdown,x,x
761,ClassTypeAndQuota,Bus Booking,Windows,Php,class type dropdown and quota type dropdown,x,x
762,DateOfJourney,Bus Booking,Windows,Php,date of journey input,x,x
763,DateOfJourney,Railway Booking,Windows,Php,date of journey input,x,x
764,DisplayAgeOutput,Educational,Windows,Php,Display the age ,age,x
765,FlightBookingConfirmed,Flight Booking,Windows,Php,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
766,FlightClassType,Flight Booking,Windows,Php,select flight class type from dropdown,x,x
767,FlightDisplayUI,Flight Booking,Windows,Php,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
768,FromCityToCity,Bus Booking,Windows,Php,From city dropdown and to city dropdown select,x,x
769,FromCityToCity,Railway Booking,Windows,Php,From city dropdown and to city dropdown select,x,x
770,FromCityToCityDOJ,Flight Booking,Windows,Php,From city dropdown and to city dropdown and date of journey select,x,x
771,FromDateToDate,Hotel Booking,Windows,Php,from date and to date input,x,x
772,GetFlights,Flight Booking,Windows,Php,"get flights button to search for flights using from city name , to city name and date of journey",x,x
773,GetTrains,Railway Booking,Windows,Php,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
